id,value
Sample,
Sample.Topic 0,
Sample.Topic 0.good,0.24357920968039162
Sample.Topic 0.great,0.2207187844916716
Sample.Topic 0.place,0.21734120983897678
Sample.Topic 0.service,0.16011251150552336
Sample.Topic 0.like,0.1427666636822095
Sample.Topic 0.just,0.1406285967460477
Sample.Topic 0.really,0.13518459061735769
Sample.Topic 0.time,0.12844436028706915
Sample.Topic 0.love,0.1071569340616084
Sample.Topic 0.nice,0.09956735721007029
Sample.Topic 0.chicken,0.09934607304460673
Sample.Topic 0.ordered,0.09484550331748245
Sample.Topic 0.ve,0.09470232791897276
Sample.Topic 0.best,0.09332384583436401
Sample.Topic 0.pizza,0.09300674005765373
Sample.Topic 1,
Sample.Topic 1.great,-0.7272666438316386
Sample.Topic 1.service,-0.2108583376195414
Sample.Topic 1.love,-0.18385860440628415
Sample.Topic 1.place,-0.15975251938583257
Sample.Topic 1.atmosphere,-0.12668418923727737
Sample.Topic 1.ordered,0.11158965961481171
Sample.Topic 1.like,0.10449218799805655
Sample.Topic 1.awesome,-0.10142066942364991
Sample.Topic 1.just,0.09877085422339252
Sample.Topic 1.friendly,-0.0981349710996924
Sample.Topic 1.staff,-0.09623720600818529
Sample.Topic 1.got,0.09448721453426559
Sample.Topic 1.order,0.09299592626853838
Sample.Topic 1.came,0.0863503241333081
Sample.Topic 1.didn,0.08445735499539334
Sample.Topic 2,
Sample.Topic 2.pizza,-0.8713488083323666
Sample.Topic 2.good,-0.15848059043549959
Sample.Topic 2.crust,-0.1384414904752925
Sample.Topic 2.great,0.12200967776560746
Sample.Topic 2.sushi,0.12173734005565262
Sample.Topic 2.love,-0.10422866422403783
Sample.Topic 2.service,0.08187126890100985
Sample.Topic 2.sauce,-0.0658702863910417
Sample.Topic 2.cheese,-0.06571810447492354
Sample.Topic 2.bar,0.06349480461687891
Sample.Topic 2.drinks,0.06023486465910363
Sample.Topic 2.wings,-0.059066872145415145
Sample.Topic 2.best,-0.058301655450217316
Sample.Topic 2.pizzas,-0.05655582541988604
Sample.Topic 2.table,0.05614195993583675
Sample.Topic 3,
Sample.Topic 3.good,-0.8182841306858144
Sample.Topic 3.pizza,0.18760084110544226
Sample.Topic 3.great,0.14747510523773652
Sample.Topic 3.pretty,-0.13915809384908379
Sample.Topic 3.love,0.13140236684209203
Sample.Topic 3.really,-0.13095084523929595
Sample.Topic 3.service,-0.11285861997929986
Sample.Topic 3.amazing,0.09504753976966131
Sample.Topic 3.order,0.0832602034547623
Sample.Topic 3.delicious,0.07503953179246271
Sample.Topic 3.wait,0.07438584056039675
Sample.Topic 3.time,0.07200257982396868
Sample.Topic 3.minutes,0.0716732751810817
Sample.Topic 3.beer,-0.07099428864050696
Sample.Topic 3.nice,-0.07054076751024484
Sample.Topic 4,
Sample.Topic 4.love,-0.4901840116873722
Sample.Topic 4.pizza,0.2678886774291716
Sample.Topic 4.service,0.24327860168434723
Sample.Topic 4.place,-0.2307074472606245
Sample.Topic 4.chicken,-0.18715484950308903
Sample.Topic 4.great,0.1775433593863689
Sample.Topic 4.best,-0.15673517237101306
Sample.Topic 4.minutes,0.12436609474932178
Sample.Topic 4.sandwich,-0.11499250589285562
Sample.Topic 4.table,0.10626175227162298
Sample.Topic 4.bar,0.10313010445164843
Sample.Topic 4.drinks,0.10004504695134789
Sample.Topic 4.delicious,-0.09990949142294935
Sample.Topic 4.hour,0.09679141443939071
Sample.Topic 4.amazing,-0.0929607030136364
Sample.Topic 5,
Sample.Topic 5.place,-0.33826848501936047
Sample.Topic 5.great,0.33627727304519395
Sample.Topic 5.love,-0.27949756524962976
Sample.Topic 5.chicken,0.26007920689229264
Sample.Topic 5.sushi,-0.24135618662120156
Sample.Topic 5.burger,0.176144242061838
Sample.Topic 5.bar,-0.16253404286141696
Sample.Topic 5.salad,0.14823391626002994
Sample.Topic 5.fries,0.14583574693073859
Sample.Topic 5.sandwich,0.14046379112816837
Sample.Topic 5.sauce,0.12541313235771454
Sample.Topic 5.cheese,0.11924923554369606
Sample.Topic 5.ordered,0.11790158666847063
Sample.Topic 5.delicious,0.0991384342472748
Sample.Topic 5.fried,0.09558574366997862
Sample.Topic 6,
Sample.Topic 6.sushi,0.5347866251476892
Sample.Topic 6.burger,-0.5181811904052215
Sample.Topic 6.fries,-0.22210881828778808
Sample.Topic 6.buffet,0.18707137893691952
Sample.Topic 6.burgers,-0.18249914120052885
Sample.Topic 6.love,-0.14344327583155242
Sample.Topic 6.rolls,0.13995604162463382
Sample.Topic 6.roll,0.13140288022106097
Sample.Topic 6.place,-0.12845683059938043
Sample.Topic 6.chicken,0.11434318300849183
Sample.Topic 6.rice,0.11021025367052407
Sample.Topic 6.fresh,0.09018143228393884
Sample.Topic 6.beer,-0.08784074756319041
Sample.Topic 6.fish,0.07529639021731493
Sample.Topic 6.pizza,0.07390351632998704
Sample.Topic 7,
Sample.Topic 7.burger,0.5482102595336585
Sample.Topic 7.sushi,0.5336918349979088
Sample.Topic 7.breakfast,-0.24752966422769973
Sample.Topic 7.fries,0.2181598484309917
Sample.Topic 7.burgers,0.17984879329477663
Sample.Topic 7.coffee,-0.12329738057036317
Sample.Topic 7.roll,0.11854322511780456
Sample.Topic 7.rolls,0.1080364727808332
Sample.Topic 7.pizza,0.101302336187964
Sample.Topic 7.wings,0.09626430712990067
Sample.Topic 7.place,-0.08891126282823014
Sample.Topic 7.tacos,0.08548474833770849
Sample.Topic 7.sandwich,-0.08277202572443647
Sample.Topic 7.happy,0.08105733280390437
Sample.Topic 7.buffet,0.08058305020538858
Sample.Topic 8,
Sample.Topic 8.breakfast,-0.42345972011798216
Sample.Topic 8.buffet,-0.3073669402126486
Sample.Topic 8.love,0.2492512196341109
Sample.Topic 8.burger,-0.23102565368002193
Sample.Topic 8.wings,0.22568873983315627
Sample.Topic 8.chicken,0.2239428937516366
Sample.Topic 8.best,-0.20945405384908844
Sample.Topic 8.vegas,-0.207001043543396
Sample.Topic 8.beer,0.1734863039246071
